Channel Name,Channel URL,Category,Email
Marques Brownlee,https://www.youtube.com/@mkbhd,Tech Reviews,business@MKBHD.com
Linus Tech Tips,https://www.youtube.com/@LinusTechTips,Tech & Entertainment,partnerships@linusmediagroup.com
Google Developers,https://www.youtube.com/@GoogleDevelopers,Technology,
Microsoft,https://www.youtube.com/@Microsoft,Technology,
Fireship,https://www.youtube.com/@Fireship,Programming,
The Verge,https://www.youtube.com/@TheVerge,Tech News,
freeCodeCamp.org,https://www.youtube.com/@freecodecamp,Education,
MrBeast,https://www.youtube.com/@MrBeast,Entertainment,
Kurzgesagt – In a Nutshell,https://www.youtube.com/@kurzgesagt,Science & Education,
TED,https://www.youtube.com/@TED,Talks & Education,
Gamers Nexus,https://www.youtube.com/@GamersNexus,PC Hardware,
Adobe Photoshop,https://www.youtube.com/@Photoshop,Software & Tutorials,
